Id,SalePrice
1461,134986.54881192808
1462,371968.0932959095
1463,193727.71882079996
1464,201301.2164477439
1465,211122.4518125994
1466,170947.30610887782
1467,167607.3555876988
1468,155851.35364214735
1469,210930.19294724893
1470,113575.75264568173
1471,177998.76572484823
1472,96842.4507737026
1473,88276.66139064674
1474,146883.60773335816
1475,107948.08300587129
1476,356851.280205501
1477,250124.07627279314
1478,300781.70663181524
1479,303717.50231884926
1480,439721.1226274813
1481,315161.0359035558
1482,207191.51565072502
1483,173824.08961563223
1484,163921.9466541166
1485,179634.4980349629
1486,192670.96352255717
1487,322779.79053490853
1488,222311.9979955329
1489,201246.72427639266
1490,260928.73053886258
1491,197252.1623729568
1492,101856.39312642031
1493,187493.09416897572
1494,244526.59801863405
1495,270177.19238721696
1496,243906.48080218968
1497,176357.0953946284
1498,160163.85644384922
1499,170931.97960299463
1500,148378.21981190823
1501,169555.92639290387
1502,135092.89284712254
1503,181999.34067438633
1504,246654.03661634438
1505,234012.52891748658
1506,199390.16494244838
1507,266436.76427767094
1508,207537.07085221735
1509,163861.16629945362
1510,148099.27722483987
1511,139498.0119022086
1512,168424.71280872548
1513,144778.67840976588
1514,271845.0304571246
1515,200355.32437258263
1516,149738.99202500776
1517,198357.48671016842
1518,114930.34713443549
1519,208717.81688839805
1520,125111.32782324504
1521,143387.58458514683
1522,180567.86636760653
1523,110803.28311982444
1524,129946.99742677726
1525,119206.70316791222
1526,102147.39051984572
1527,105543.84525664973
1528,144415.06798895742
1529,168911.58108372558
1530,216281.89370210745
1531,108325.89719349834
1532,182605.01663033507
1533,169761.99553494834
1534,134625.54741253247
1535,153110.80001136565
1536,101843.04492088959
1537,44394.12161106569
1538,146848.75712964893
1539,205212.55523998794
1540,236865.5577559097
1541,140486.38290270805
1542,163966.74949620402
1543,179684.32106625967
1544,71720.19765925242
1545,127972.48254210681
1546,117075.75369658173
1547,136739.896652031
1548,148376.47187581533
1549,121000.3209656084
1550,134839.16207169206
1551,110091.0394715931
1552,165487.30913192223
1553,259034.38295358652
1554,114292.21938928212
1555,163226.87875655855
1556,36526.774336097515
1557,167604.93818978907
1558,93706.09580332763
1559,150228.63657681755
1560,112401.87468844121
1561,211687.23717154228
1562,127263.30793167329
1563,134907.32012686052
1564,150427.3047932562
1565,159451.20970475418
1566,233145.32958084642
1567,77775.34284477888
1568,215939.90268503912
1569,133160.7028057885
1570,128128.9940895517
1571,85339.22010535671
1572,149750.97335427048
1573,289062.58707575226
1574,130813.49665310967
1575,237590.75802735923
1576,255003.02845844568
1577,186703.62522689605
1578,150649.54347958416
1579,137346.3090817988
1580,188822.34501459476
1581,167308.0440145056
1582,126425.50332458445
1583,279671.3565420015
1584,221086.2661891323
1585,131063.53649892501
1586,41334.817619221896
1587,121912.68659862109
1588,165071.4124071411
1589,91231.56776715069
1590,116360.84482981883
1591,194318.68021038146
1592,123408.63193601808
1593,120106.64986843719
1594,231671.67595558063
1595,210661.5458296984
1596,224481.50124063084
1597,195887.4567160666
1598,221560.72287738515
1599,178584.69847211379
1600,158196.7579226133
1601,30789.852941331712
1602,134040.3249154889
1603,37711.17173538515
1604,290512.4916330915
1605,227553.32528840197
1606,142240.5696560069
1607,160544.38352004488
1608,203368.9588736577
1609,175136.72928786173
1610,144341.3787730598
1611,143724.50298495326
1612,178042.58399428258
1613,167951.0417662005
1614,138213.04191618907
1615,194049.6935921266
1616,168441.3278697995
1617,87024.91719692173
1618,111053.88087725911
1619,136376.25671281648
1620,159210.43022673094
1621,134131.55390483903
1622,139812.14895594283
1623,255312.39289268616
1624,202004.75775493367
1625,125494.7235898389
1626,155206.02909029918
1627,191297.89084359154
1628,284161.7782571292
1629,179245.13242590718
1630,374109.51179737505
1631,250997.1631630031
1632,265183.84517313767
1633,174142.83904043806
1634,188850.30034630158
1635,169109.85231779655
1636,144132.71533656123
1637,204643.73491032043
1638,199004.4829822552
1639,185359.7742025262
1640,251483.76738990124
1641,173346.4644991663
1642,259716.33695109643
1643,228642.10938757955
1644,257055.77321988958
1645,227768.33936722687
1646,150651.08692266588
1647,155511.31802969612
1648,124902.83462969045
1649,122222.51594752872
1650,115920.82623135815
1651,116315.99900498867
1652,89879.90952422621
1653,98450.19049203904
1654,157369.57956530713
1655,130258.98484806312
1656,143788.2587155841
1657,163609.11954555285
1658,152684.8256392459
1659,133902.7909542652
1660,162967.61821843503
1661,417401.1177223119
1662,384250.1328716769
1663,373229.67420570005
1664,444634.53260565054
1665,324378.46985084383
1666,297504.57196078607
1667,375212.1974510494
1668,327017.47061765287
1669,306716.26088596485
1670,343208.1913209357
1671,261949.6722312362
1672,381935.72244985605
1673,287469.2132221033
1674,245200.82992548397
1675,201183.77842779376
1676,203329.97543215755
1677,217998.03292008702
1678,457313.8381829153
1679,367882.0659938741
1680,330810.78410559293
1681,260819.85382066885
1682,320227.9505095051
1683,193258.16069288584
1684,162861.91940919592
1685,165406.64514816934
1686,168880.90853418814
1687,162655.41721556502
